Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
E1109,0,Bilingue,4,ThirdPSing,2,
E1109,0,Bilingue,5,ThirdPSing,2,
E1109,0,Bilingue,6,ThirdPSing,2,
E1109,0,Bilingue,7,ThirdPSing,1,3543
E1109,0,Bilingue,8,ThirdPSing,2,
E1110,0,Bilingue,1,ThirdPSing,2,
E1110,0,Bilingue,2,ThirdPSing,2,
E1110,0,Bilingue,3,ThirdPSing,2,
E1110,0,Bilingue,4,ThirdPSing,2,
E1110,0,Bilingue,5,ThirdPSing,2,
E1110,0,Bilingue,6,ThirdPSing,2,
E1110,0,Bilingue,7,ThirdPSing,2,
E1110,0,Bilingue,8,ThirdPSing,2,
C1101,0,Bilingue,1,ThirdPSing,2,
C1101,0,Bilingue,2,ThirdPSing,1,1753
C1101,0,Bilingue,3,ThirdPSing,2,
C1101,0,Bilingue,4,ThirdPSing,2,
C1101,0,Bilingue,5,ThirdPSing,1,1777
C1101,0,Bilingue,6,ThirdPSing,2,
C1101,0,Bilingue,7,ThirdPSing,2,
C1101,0,Bilingue,8,ThirdPSing,2,
C1102,0,Bilingue,1,ThirdPSing,1,5502
C1102,0,Bilingue,2,ThirdPSing,2,
C1102,0,Bilingue,3,ThirdPSing,2,
C1102,0,Bilingue,4,ThirdPSing,2,
C1102,0,Bilingue,5,ThirdPSing,2,
C1102,0,Bilingue,6,ThirdPSing,2,
C1102,0,Bilingue,7,ThirdPSing,1,3293
C1102,0,Bilingue,8,ThirdPSing,2,
C1103,0,Bilingue,1,ThirdPSing,1,1226
C1103,0,Bilingue,2,ThirdPSing,2,
C1103,0,Bilingue,3,ThirdPSing,1,1146
C1103,0,Bilingue,4,ThirdPSing,2,
C1103,0,Bilingue,5,ThirdPSing,2,
C1103,0,Bilingue,6,ThirdPSing,1,1917
C1103,0,Bilingue,7,ThirdPSing,2,
C1103,0,Bilingue,8,ThirdPSing,2,
C1104,0,Bilingue,1,ThirdPSing,2,
C1104,0,Bilingue,2,ThirdPSing,2,
C1104,0,Bilingue,3,ThirdPSing,2,
C1104,0,Bilingue,4,ThirdPSing,2,
