Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
E3311,0,Bilingue,5,ThirdPSing,1,6061
E3311,0,Bilingue,6,ThirdPSing,2,
E3311,0,Bilingue,7,ThirdPSing,1,4496
E3311,0,Bilingue,8,ThirdPSing,2,
E3312,0,Bilingue,1,ThirdPSing,2,
E3312,0,Bilingue,2,ThirdPSing,2,
E3312,0,Bilingue,3,ThirdPSing,2,
E3312,0,Bilingue,4,ThirdPSing,2,
E3312,0,Bilingue,5,ThirdPSing,2,
E3312,0,Bilingue,6,ThirdPSing,2,
E3312,0,Bilingue,7,ThirdPSing,1,1308
E3312,0,Bilingue,8,ThirdPSing,1,970
E3313,0,Bilingue,1,ThirdPSing,2,
E3313,0,Bilingue,2,ThirdPSing,1,1268
E3313,0,Bilingue,3,ThirdPSing,2,
E3313,0,Bilingue,4,ThirdPSing,1,1736
E3313,0,Bilingue,5,ThirdPSing,2,
E3313,0,Bilingue,6,ThirdPSing,2,
E3313,0,Bilingue,7,ThirdPSing,2,
E3313,0,Bilingue,8,ThirdPSing,2,
E3314,0,Bilingue,1,ThirdPSing,1,"134,4"
E3314,0,Bilingue,2,ThirdPSing,2,
E3314,0,Bilingue,3,ThirdPSing,1,2476
E3314,0,Bilingue,4,ThirdPSing,1,1880
E3314,0,Bilingue,5,ThirdPSing,1,3077
E3314,0,Bilingue,6,ThirdPSing,1,3009
E3314,0,Bilingue,7,ThirdPSing,1,2192
E3314,0,Bilingue,8,ThirdPSing,1,2882
C3306,1,Bilingue,1,ThirdPSing,2,
C3306,1,Bilingue,2,ThirdPSing,1,3919
C3306,1,Bilingue,3,ThirdPSing,1,4132
C3306,1,Bilingue,4,ThirdPSing,1,2853
C3306,1,Bilingue,5,ThirdPSing,1,3288
C3306,1,Bilingue,6,ThirdPSing,2,
C3306,1,Bilingue,7,ThirdPSing,2,
C3306,1,Bilingue,8,ThirdPSing,1,2716
C3307,1,Bilingue,1,ThirdPSing,1,1177
C3307,1,Bilingue,2,ThirdPSing,2,
C3307,1,Bilingue,3,ThirdPSing,2,
C3307,1,Bilingue,4,ThirdPSing,2,
C3307,1,Bilingue,5,ThirdPSing,2,
C3307,1,Bilingue,6,ThirdPSing,1,1144
C3307,1,Bilingue,7,ThirdPSing,2,
C3307,1,Bilingue,8,ThirdPSing,1,2571
C3308,1,Bilingue,1,ThirdPSing,1,1347
C3308,1,Bilingue,2,ThirdPSing,2,
C3308,1,Bilingue,3,ThirdPSing,2,
C3308,1,Bilingue,4,ThirdPSing,2,
C3308,1,Bilingue,5,ThirdPSing,1,1553
C3308,1,Bilingue,6,ThirdPSing,2,
C3308,1,Bilingue,7,ThirdPSing,1,1664
C3308,1,Bilingue,8,ThirdPSing,1,3336
C3309,1,Bilingue,1,ThirdPSing,1,2269
C3309,1,Bilingue,2,ThirdPSing,2,
C3309,1,Bilingue,3,ThirdPSing,2,
C3309,1,Bilingue,4,ThirdPSing,1,2319
C3309,1,Bilingue,5,ThirdPSing,2,
C3309,1,Bilingue,6,ThirdPSing,2,
C3309,1,Bilingue,7,ThirdPSing,1,3067
C3309,1,Bilingue,8,ThirdPSing,1,2511
C3310,1,Bilingue,1,ThirdPSing,2,
C3310,1,Bilingue,2,ThirdPSing,1,2680
C3310,1,Bilingue,3,ThirdPSing,2,
C3310,1,Bilingue,4,ThirdPSing,2,
C3310,1,Bilingue,5,ThirdPSing,2,
C3310,1,Bilingue,6,ThirdPSing,2,
C3310,1,Bilingue,7,ThirdPSing,2,
C3310,1,Bilingue,8,ThirdPSing,2,
E1111,1,Bilingue,1,ThirdPSing,1,1814
E1111,1,Bilingue,2,ThirdPSing,2,
E1111,1,Bilingue,3,ThirdPSing,2,
E1111,1,Bilingue,4,ThirdPSing,1,1825
E1111,1,Bilingue,5,ThirdPSing,2,
E1111,1,Bilingue,6,ThirdPSing,2,
E1111,1,Bilingue,7,ThirdPSing,1,3264
E1111,1,Bilingue,8,ThirdPSing,2,
I3313,1,Bilingue,1,ThirdPSing,2,
I3313,1,Bilingue,2,ThirdPSing,2,
I3313,1,Bilingue,3,ThirdPSing,1,3644
I3313,1,Bilingue,4,ThirdPSing,1,3647
I3313,1,Bilingue,5,ThirdPSing,2,
I3313,1,Bilingue,6,ThirdPSing,1,1557
I3313,1,Bilingue,7,ThirdPSing,2,
I3313,1,Bilingue,8,ThirdPSing,1,2828
I3314,1,Bilingue,1,ThirdPSing,1,1520
I3314,1,Bilingue,2,ThirdPSing,1,2229
I3314,1,Bilingue,3,ThirdPSing,1,1542
I3314,1,Bilingue,4,ThirdPSing,2,
I3314,1,Bilingue,5,ThirdPSing,1,1969
I3314,1,Bilingue,6,ThirdPSing,2,
I3314,1,Bilingue,7,ThirdPSing,1,4480
I3314,1,Bilingue,8,ThirdPSing,2,
I3315,1,Bilingue,1,ThirdPSing,1,977
I3315,1,Bilingue,2,ThirdPSing,1,1570
I3315,1,Bilingue,3,ThirdPSing,2,
I3315,1,Bilingue,4,ThirdPSing,1,981
I3315,1,Bilingue,5,ThirdPSing,1,1420
I3315,1,Bilingue,6,ThirdPSing,1,4595
I3315,1,Bilingue,7,ThirdPSing,1,2258
I3315,1,Bilingue,8,ThirdPSing,2,
I3316,1,Bilingue,1,ThirdPSing,1,2583
I3316,1,Bilingue,2,ThirdPSing,2,
I3316,1,Bilingue,3,ThirdPSing,2,
I3316,1,Bilingue,4,ThirdPSing,1,"136,9"
I3316,1,Bilingue,5,ThirdPSing,2,
I3316,1,Bilingue,6,ThirdPSing,2,
I3316,1,Bilingue,7,ThirdPSing,1,2747
I3316,1,Bilingue,8,ThirdPSing,2,
I3317,1,Bilingue,1,ThirdPSing,1,2735
I3317,1,Bilingue,2,ThirdPSing,2,
I3317,1,Bilingue,3,ThirdPSing,2,
I3317,1,Bilingue,4,ThirdPSing,1,1946
I3317,1,Bilingue,5,ThirdPSing,2,
I3317,1,Bilingue,6,ThirdPSing,2,
I3317,1,Bilingue,7,ThirdPSing,1,2512
I3317,1,Bilingue,8,ThirdPSing,2,
I3318,1,Bilingue,1,ThirdPSing,2,
I3318,1,Bilingue,2,ThirdPSing,2,
I3318,1,Bilingue,3,ThirdPSing,2,
I3318,1,Bilingue,4,ThirdPSing,1,4498
I3318,1,Bilingue,5,ThirdPSing,2,
I3318,1,Bilingue,6,ThirdPSing,2,
I3318,1,Bilingue,7,ThirdPSing,1,2996
I3318,1,Bilingue,8,ThirdPSing,2,
C1123,1,Bilingue,1,ThirdPSing,2,
C1123,1,Bilingue,2,ThirdPSing,2,
C1123,1,Bilingue,3,ThirdPSing,2,
C1123,1,Bilingue,4,ThirdPSing,2,
C1123,1,Bilingue,5,ThirdPSing,2,
C1123,1,Bilingue,6,ThirdPSing,2,
C1123,1,Bilingue,7,ThirdPSing,2,
C1123,1,Bilingue,8,ThirdPSing,2,
I1108,1,Bilingue,1,ThirdPSing,2,
I1108,1,Bilingue,2,ThirdPSing,2,
I1108,1,Bilingue,3,ThirdPSing,2,
I1108,1,Bilingue,4,ThirdPSing,1,1398
I1108,1,Bilingue,5,ThirdPSing,2,
I1108,1,Bilingue,6,ThirdPSing,2,
I1108,1,Bilingue,7,ThirdPSing,1,1589
I1108,1,Bilingue,8,ThirdPSing,1,1552
I1109,1,Bilingue,1,ThirdPSing,1,1590
I1109,1,Bilingue,2,ThirdPSing,2,
I1109,1,Bilingue,3,ThirdPSing,2,
I1109,1,Bilingue,4,ThirdPSing,1,1204
I1109,1,Bilingue,5,ThirdPSing,2,
I1109,1,Bilingue,6,ThirdPSing,2,
I1109,1,Bilingue,7,ThirdPSing,1,4031
I1109,1,Bilingue,8,ThirdPSing,1,3868
E3315,1,Bilingue,1,ThirdPSing,1,1428
E3315,1,Bilingue,2,ThirdPSing,1,4100
E3315,1,Bilingue,3,ThirdPSing,2,
E3315,1,Bilingue,4,ThirdPSing,2,
E3315,1,Bilingue,5,ThirdPSing,2,
E3315,1,Bilingue,6,ThirdPSing,1,2107
E3315,1,Bilingue,7,ThirdPSing,1,2756
E3315,1,Bilingue,8,ThirdPSing,2,
C3311,2,Bilingue,1,ThirdPSing,1,"242,5"
C3311,2,Bilingue,2,ThirdPSing,2,
C3311,2,Bilingue,3,ThirdPSing,1,1879
C3311,2,Bilingue,4,ThirdPSing,1,1452
C3311,2,Bilingue,5,ThirdPSing,2,
C3311,2,Bilingue,6,ThirdPSing,2,
C3311,2,Bilingue,7,ThirdPSing,1,1669
C3311,2,Bilingue,8,ThirdPSing,2,
C3312,2,Bilingue,1,ThirdPSing,1,2327
C3312,2,Bilingue,2,ThirdPSing,1,2162
C3312,2,Bilingue,3,ThirdPSing,2,
C3312,2,Bilingue,4,ThirdPSing,2,
C3312,2,Bilingue,5,ThirdPSing,2,
C3312,2,Bilingue,6,ThirdPSing,2,
C3312,2,Bilingue,7,ThirdPSing,1,2023
C3312,2,Bilingue,8,ThirdPSing,2,
C3313,2,Bilingue,1,ThirdPSing,1,1880
C3313,2,Bilingue,2,ThirdPSing,1,2875
C3313,2,Bilingue,3,ThirdPSing,1,2019
C3313,2,Bilingue,4,ThirdPSing,1,1345
C3313,2,Bilingue,5,ThirdPSing,1,1603
C3313,2,Bilingue,6,ThirdPSing,1,2352
C3313,2,Bilingue,7,ThirdPSing,1,2605
C3313,2,Bilingue,8,ThirdPSing,2,
C3314,2,Bilingue,1,ThirdPSing,1,2136
C3314,2,Bilingue,2,ThirdPSing,1,2622
C3314,2,Bilingue,3,ThirdPSing,2,
C3314,2,Bilingue,4,ThirdPSing,2,
C3314,2,Bilingue,5,ThirdPSing,1,1935
C3314,2,Bilingue,6,ThirdPSing,2,
C3314,2,Bilingue,7,ThirdPSing,2,
C3314,2,Bilingue,8,ThirdPSing,2,
C3315,2,Bilingue,1,ThirdPSing,1,2685
C3315,2,Bilingue,2,ThirdPSing,1,2714
C3315,2,Bilingue,3,ThirdPSing,2,
C3315,2,Bilingue,4,ThirdPSing,2,
C3315,2,Bilingue,5,ThirdPSing,2,
C3315,2,Bilingue,6,ThirdPSing,2,
C3315,2,Bilingue,7,ThirdPSing,1,1719
C3315,2,Bilingue,8,ThirdPSing,2,
E1112,2,Bilingue,1,ThirdPSing,1,2647
E1112,2,Bilingue,2,ThirdPSing,2,
E1112,2,Bilingue,3,ThirdPSing,2,
E1112,2,Bilingue,4,ThirdPSing,1,1469
E1112,2,Bilingue,5,ThirdPSing,2,
E1112,2,Bilingue,6,ThirdPSing,2,
E1112,2,Bilingue,7,ThirdPSing,1,2724
E1112,2,Bilingue,8,ThirdPSing,1,5343
E1113,2,Bilingue,1,ThirdPSing,1,854
E1113,2,Bilingue,2,ThirdPSing,1,1314
E1113,2,Bilingue,3,ThirdPSing,1,772
E1113,2,Bilingue,4,ThirdPSing,1,938
E1113,2,Bilingue,5,ThirdPSing,1,2258
E1113,2,Bilingue,6,ThirdPSing,2,
E1113,2,Bilingue,7,ThirdPSing,1,1707
E1113,2,Bilingue,8,ThirdPSing,1,1183
E1114,2,Bilingue,1,ThirdPSing,1,1604
E1114,2,Bilingue,2,ThirdPSing,2,
E1114,2,Bilingue,3,ThirdPSing,1,1440
E1114,2,Bilingue,4,ThirdPSing,1,1679
E1114,2,Bilingue,5,ThirdPSing,2,
E1114,2,Bilingue,6,ThirdPSing,1,1506
E1114,2,Bilingue,7,ThirdPSing,2,
E1114,2,Bilingue,8,ThirdPSing,2,
C1124,2,Bilingue,1,ThirdPSing,1,1078
C1124,2,Bilingue,2,ThirdPSing,2,
C1124,2,Bilingue,3,ThirdPSing,2,
C1124,2,Bilingue,4,ThirdPSing,1,2420
C1124,2,Bilingue,5,ThirdPSing,2,
C1124,2,Bilingue,6,ThirdPSing,1,1853
C1124,2,Bilingue,7,ThirdPSing,1,2331
C1124,2,Bilingue,8,ThirdPSing,2,
C1125,2,Bilingue,1,ThirdPSing,1,2845
C1125,2,Bilingue,2,ThirdPSing,2,
C1125,2,Bilingue,3,ThirdPSing,1,4494
C1125,2,Bilingue,4,ThirdPSing,1,3117
C1125,2,Bilingue,5,ThirdPSing,1,3316
C1125,2,Bilingue,6,ThirdPSing,2,
C1125,2,Bilingue,7,ThirdPSing,2,
C1125,2,Bilingue,8,ThirdPSing,2,
C1126,2,Bilingue,1,ThirdPSing,1,1584
C1126,2,Bilingue,2,ThirdPSing,1,2303
C1126,2,Bilingue,3,ThirdPSing,1,1680
C1126,2,Bilingue,4,ThirdPSing,1,1093
C1126,2,Bilingue,5,ThirdPSing,2,
C1126,2,Bilingue,6,ThirdPSing,1,1439
C1126,2,Bilingue,7,ThirdPSing,2,
C1126,2,Bilingue,8,ThirdPSing,2,
I3319,2,Bilingue,1,ThirdPSing,1,1126
I3319,2,Bilingue,2,ThirdPSing,1,2472
I3319,2,Bilingue,3,ThirdPSing,1,1394
I3319,2,Bilingue,4,ThirdPSing,1,1411
I3319,2,Bilingue,5,ThirdPSing,2,
I3319,2,Bilingue,6,ThirdPSing,2,
I3319,2,Bilingue,7,ThirdPSing,1,1251
I3319,2,Bilingue,8,ThirdPSing,2,
I3320,2,Bilingue,1,ThirdPSing,1,1599
I3320,2,Bilingue,2,ThirdPSing,1,3745
I3320,2,Bilingue,3,ThirdPSing,1,1264
I3320,2,Bilingue,4,ThirdPSing,1,2481
I3320,2,Bilingue,5,ThirdPSing,2,
I3320,2,Bilingue,6,ThirdPSing,2,
I3320,2,Bilingue,7,ThirdPSing,1,2628
I3320,2,Bilingue,8,ThirdPSing,2,
I3321,2,Bilingue,1,ThirdPSing,1,1028
I3321,2,Bilingue,2,ThirdPSing,2,
I3321,2,Bilingue,3,ThirdPSing,1,1010
I3321,2,Bilingue,4,ThirdPSing,1,1453
I3321,2,Bilingue,5,ThirdPSing,2,
I3321,2,Bilingue,6,ThirdPSing,1,1856
I3321,2,Bilingue,7,ThirdPSing,2,
I3321,2,Bilingue,8,ThirdPSing,1,854
I3322,2,Bilingue,1,ThirdPSing,1,2080
I3322,2,Bilingue,2,ThirdPSing,1,3088
I3322,2,Bilingue,3,ThirdPSing,1,4381
I3322,2,Bilingue,4,ThirdPSing,1,1952
I3322,2,Bilingue,5,ThirdPSing,1,3021
I3322,2,Bilingue,6,ThirdPSing,1,2053
I3322,2,Bilingue,7,ThirdPSing,1,1885
I3322,2,Bilingue,8,ThirdPSing,1,2034
I3323,2,Bilingue,1,ThirdPSing,1,1603
I3323,2,Bilingue,2,ThirdPSing,2,
I3323,2,Bilingue,3,ThirdPSing,2,
I3323,2,Bilingue,4,ThirdPSing,1,1670
I3323,2,Bilingue,5,ThirdPSing,2,
I3323,2,Bilingue,6,ThirdPSing,2,
I3323,2,Bilingue,7,ThirdPSing,1,1319
I3323,2,Bilingue,8,ThirdPSing,2,
I3324,2,Bilingue,1,ThirdPSing,1,1204
I3324,2,Bilingue,2,ThirdPSing,2,
I3324,2,Bilingue,3,ThirdPSing,1,1712
I3324,2,Bilingue,4,ThirdPSing,1,1099
I3324,2,Bilingue,5,ThirdPSing,1,1053
I3324,2,Bilingue,6,ThirdPSing,1,1929
I3324,2,Bilingue,7,ThirdPSing,2,
I3324,2,Bilingue,8,ThirdPSing,2,
I3325,2,Bilingue,1,ThirdPSing,1,6491
I3325,2,Bilingue,2,ThirdPSing,1,6588
I3325,2,Bilingue,3,ThirdPSing,2,
I3325,2,Bilingue,4,ThirdPSing,2,
I3325,2,Bilingue,5,ThirdPSing,2,
I3325,2,Bilingue,6,ThirdPSing,2,
I3325,2,Bilingue,7,ThirdPSing,2,
I3325,2,Bilingue,8,ThirdPSing,1,1911
I3326,2,Bilingue,1,ThirdPSing,1,1519
I3326,2,Bilingue,2,ThirdPSing,2,
I3326,2,Bilingue,3,ThirdPSing,2,
I3326,2,Bilingue,4,ThirdPSing,1,1015
I3326,2,Bilingue,5,ThirdPSing,1,1449
I3326,2,Bilingue,6,ThirdPSing,1,1880
I3326,2,Bilingue,7,ThirdPSing,1,1445
I3326,2,Bilingue,8,ThirdPSing,1,1203
I3327,2,Bilingue,1,ThirdPSing,1,1356
I3327,2,Bilingue,2,ThirdPSing,1,2067
I3327,2,Bilingue,3,ThirdPSing,1,2965
I3327,2,Bilingue,4,ThirdPSing,1,940
I3327,2,Bilingue,5,ThirdPSing,2,
I3327,2,Bilingue,6,ThirdPSing,1,4611
I3327,2,Bilingue,7,ThirdPSing,1,1217
I3327,2,Bilingue,8,ThirdPSing,2,
I3328,2,Bilingue,1,ThirdPSing,1,1159
I3328,2,Bilingue,2,ThirdPSing,2,
I3328,2,Bilingue,3,ThirdPSing,2,
I3328,2,Bilingue,4,ThirdPSing,1,1072
I3328,2,Bilingue,5,ThirdPSing,2,
I3328,2,Bilingue,6,ThirdPSing,1,980
I3328,2,Bilingue,7,ThirdPSing,1,1407
I3328,2,Bilingue,8,ThirdPSing,2,
I3329,2,Bilingue,1,ThirdPSing,1,2033
I3329,2,Bilingue,2,ThirdPSing,2,
I3329,2,Bilingue,3,ThirdPSing,1,3422
I3329,2,Bilingue,4,ThirdPSing,1,1020
I3329,2,Bilingue,5,ThirdPSing,2,
I3329,2,Bilingue,6,ThirdPSing,1,2387
I3329,2,Bilingue,7,ThirdPSing,1,1233
I3329,2,Bilingue,8,ThirdPSing,1,1936
C1127,2,Bilingue,1,ThirdPSing,1,2071
C1127,2,Bilingue,2,ThirdPSing,1,2444
C1127,2,Bilingue,3,ThirdPSing,1,2955
C1127,2,Bilingue,4,ThirdPSing,3,
C1127,2,Bilingue,5,ThirdPSing,2,
C1127,2,Bilingue,6,ThirdPSing,2,
C1127,2,Bilingue,7,ThirdPSing,1,3565
C1127,2,Bilingue,8,ThirdPSing,2,
C1128,2,Bilingue,1,ThirdPSing,1,1081
C1128,2,Bilingue,2,ThirdPSing,2,
C1128,2,Bilingue,3,ThirdPSing,2,
C1128,2,Bilingue,4,ThirdPSing,2,
C1128,2,Bilingue,5,ThirdPSing,1,1194
C1128,2,Bilingue,6,ThirdPSing,2,
C1128,2,Bilingue,7,ThirdPSing,1,1261
C1128,2,Bilingue,8,ThirdPSing,1,1225
I1110,2,Bilingue,1,ThirdPSing,1,1522
I1110,2,Bilingue,2,ThirdPSing,2,
I1110,2,Bilingue,3,ThirdPSing,2,
I1110,2,Bilingue,4,ThirdPSing,1,2975
I1110,2,Bilingue,5,ThirdPSing,1,3520
I1110,2,Bilingue,6,ThirdPSing,1,3254
I1110,2,Bilingue,7,ThirdPSing,1,1409
I1110,2,Bilingue,8,ThirdPSing,2,
I1111,2,Bilingue,1,ThirdPSing,1,842
I1111,2,Bilingue,2,ThirdPSing,1,1170
I1111,2,Bilingue,3,ThirdPSing,1,807
I1111,2,Bilingue,4,ThirdPSing,1,1057
I1111,2,Bilingue,5,ThirdPSing,2,
I1111,2,Bilingue,6,ThirdPSing,1,2574
I1111,2,Bilingue,7,ThirdPSing,1,928
I1111,2,Bilingue,8,ThirdPSing,2,
I1112,2,Bilingue,1,ThirdPSing,1,964
I1112,2,Bilingue,2,ThirdPSing,2,
I1112,2,Bilingue,3,ThirdPSing,1,1953
I1112,2,Bilingue,4,ThirdPSing,1,2402
I1112,2,Bilingue,5,ThirdPSing,1,1355
I1112,2,Bilingue,6,ThirdPSing,1,2108
I1112,2,Bilingue,7,ThirdPSing,1,1318
I1112,2,Bilingue,8,ThirdPSing,2,
I1113,2,Bilingue,1,ThirdPSing,1,1558
I1113,2,Bilingue,2,ThirdPSing,1,2113
I1113,2,Bilingue,3,ThirdPSing,1,1620
I1113,2,Bilingue,4,ThirdPSing,1,2148
I1113,2,Bilingue,5,ThirdPSing,1,2822
I1113,2,Bilingue,6,ThirdPSing,1,1887
I1113,2,Bilingue,7,ThirdPSing,2,
I1113,2,Bilingue,8,ThirdPSing,2,
I1114,2,Bilingue,1,ThirdPSing,1,1105
I1114,2,Bilingue,2,ThirdPSing,1,2304
I1114,2,Bilingue,3,ThirdPSing,2,
I1114,2,Bilingue,4,ThirdPSing,1,790
I1114,2,Bilingue,5,ThirdPSing,2,
I1114,2,Bilingue,6,ThirdPSing,1,2388
I1114,2,Bilingue,7,ThirdPSing,1,4060
I1114,2,Bilingue,8,ThirdPSing,2,
E3316,2,Bilingue,1,ThirdPSing,1,2196
E3316,2,Bilingue,2,ThirdPSing,2,
E3316,2,Bilingue,3,ThirdPSing,1,2144
E3316,2,Bilingue,4,ThirdPSing,1,2564
E3316,2,Bilingue,5,ThirdPSing,1,2552
E3316,2,Bilingue,6,ThirdPSing,1,3472
E3316,2,Bilingue,7,ThirdPSing,2,
E3316,2,Bilingue,8,ThirdPSing,2,
E3317,2,Bilingue,1,ThirdPSing,1,1000
E3317,2,Bilingue,2,ThirdPSing,1,2155
E3317,2,Bilingue,3,ThirdPSing,2,
E3317,2,Bilingue,4,ThirdPSing,1,1772
E3317,2,Bilingue,5,ThirdPSing,2,
E3317,2,Bilingue,6,ThirdPSing,2,
E3317,2,Bilingue,7,ThirdPSing,1,1735
E3317,2,Bilingue,8,ThirdPSing,1,1068
E3318,2,Bilingue,1,ThirdPSing,1,4377
E3318,2,Bilingue,2,ThirdPSing,1,2804
E3318,2,Bilingue,3,ThirdPSing,2,
E3318,2,Bilingue,4,ThirdPSing,2,
E3318,2,Bilingue,5,ThirdPSing,2,
E3318,2,Bilingue,6,ThirdPSing,2,
E3318,2,Bilingue,7,ThirdPSing,2,
E3318,2,Bilingue,8,ThirdPSing,1,1972
E3319,2,Bilingue,1,ThirdPSing,2,
E3319,2,Bilingue,2,ThirdPSing,1,1643
E3319,2,Bilingue,3,ThirdPSing,2,
E3319,2,Bilingue,4,ThirdPSing,1,2451
E3319,2,Bilingue,5,ThirdPSing,2,
E3319,2,Bilingue,6,ThirdPSing,2,
E3319,2,Bilingue,7,ThirdPSing,2,
E3319,2,Bilingue,8,ThirdPSing,2,
E3320,2,Bilingue,1,ThirdPSing,1,1886
E3320,2,Bilingue,2,ThirdPSing,1,3135
E3320,2,Bilingue,3,ThirdPSing,1,974
E3320,2,Bilingue,4,ThirdPSing,1,1002
E3320,2,Bilingue,5,ThirdPSing,1,1613
E3320,2,Bilingue,6,ThirdPSing,2,
E3320,2,Bilingue,7,ThirdPSing,1,2580
E3320,2,Bilingue,8,ThirdPSing,2,
E3321,2,Bilingue,1,ThirdPSing,1,1538
E3321,2,Bilingue,2,ThirdPSing,1,1816
E3321,2,Bilingue,3,ThirdPSing,1,1781
E3321,2,Bilingue,4,ThirdPSing,1,1421
E3321,2,Bilingue,5,ThirdPSing,1,2395
E3321,2,Bilingue,6,ThirdPSing,2,
E3321,2,Bilingue,7,ThirdPSing,1,2099
E3321,2,Bilingue,8,ThirdPSing,1,1982
E3322,2,Bilingue,1,ThirdPSing,2,
E3322,2,Bilingue,2,ThirdPSing,2,
E3322,2,Bilingue,3,ThirdPSing,2,
E3322,2,Bilingue,4,ThirdPSing,1,1488
E3322,2,Bilingue,5,ThirdPSing,2,
E3322,2,Bilingue,6,ThirdPSing,2,
E3322,2,Bilingue,7,ThirdPSing,1,2647
E3322,2,Bilingue,8,ThirdPSing,1,2227
E3323,2,Bilingue,1,ThirdPSing,2,
E3323,2,Bilingue,2,ThirdPSing,2,
E3323,2,Bilingue,3,ThirdPSing,1,1032
E3323,2,Bilingue,4,ThirdPSing,2,
E3323,2,Bilingue,5,ThirdPSing,1,1880
E3323,2,Bilingue,6,ThirdPSing,1,1257
E3323,2,Bilingue,7,ThirdPSing,1,1508
E3323,2,Bilingue,8,ThirdPSing,1,1239
